"";"order";"N";"fit";"lo";"up";"loc"
"6";"Dasyuromorphia";5;0;0;0,521823750104981;6
"12";"Peramelemorphia";3;0;0;0,707598226178713;12
"3";"Carnivora";20;0,15;0,0320709371854637;0,378926826545314;3
"2";"Artiodactyla";29;0,275862068965517;0,12734011410223;0,472384482430034;2
"15";"Primates";50;0,46;0,318149178568609;0,606758023883078;15
"7";"Didelphimorphia";12;0,5;0,210944638239297;0,789055361760703;7
"17";"Scandentia";2;0,5;0,0125791170934251;0,987420882906575;17
"9";"Eulipotyphla";20;0,55;0,315278133040549;0,769422103224076;9
"16";"Rodentia";139;0,561151079136691;0,474508643012316;0,645131610247438;16
"8";"Diprotodontia";14;0,571428571428571;0,288609400038307;0,823388910017882;8
"5";"Cingulata";3;0,666666666666667;0,0942993240502461;0,991596241340387;5
"4";"Chiroptera";104;0,836538461538462;0,751231581358272;0,901796319950873;4
"10";"Lagomorpha";7;0,857142857142857;0,421276802956805;0,996389703138099;10
"1";"Afrosoricida";13;0,923076923076923;0,639702564732123;0,998054371502653;1
"11";"Macroscelidea";2;1;0,158113883008419;1;11
"13";"Perissodactyla";1;1;0,025;1;13
"14";"Pilosa";4;1;0,397635364383525;1;14
